Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Inter Chunk Latency (ms),6.07,0.17,19.30,30776.80,0.83,5.71,5.86,5.96,6.04,6.12,6.25,6.42,11.40,1.24
Inter Token Latency (ms),6.07,6.02,6.17,121.36,6.03,6.03,6.03,6.05,6.05,6.08,6.12,6.14,6.16,0.04
OSL Mismatch Diff % (%),-0.55,-2.34,0.00,-10.94,-2.20,-1.60,-1.56,-0.78,-0.39,0.00,0.00,0.00,0.00,0.65
Output Sequence Length (tokens),254.60,250.00,256.00,5092.00,250.38,251.90,252.00,254.00,255.00,256.00,256.00,256.00,256.00,1.66
Output Token Count (tokens),254.60,250.00,256.00,5092.00,250.38,251.90,252.00,254.00,255.00,256.00,256.00,256.00,256.00,1.66
Output Token Throughput Per User (tokens/sec/user),164.80,162.04,165.98,3296.00,162.22,162.97,163.30,164.51,165.17,165.33,165.91,165.95,165.97,1.02
Prefill Throughput Per User (tokens/sec/user),8991.02,6321.31,9570.59,179820.31,6718.67,8308.11,8578.29,8922.26,9164.17,9312.38,9455.50,9548.34,9566.14,681.70
Request Latency (ms),1596.65,1590.41,1623.59,31932.99,1590.51,1590.94,1591.56,1591.89,1593.64,1598.84,1602.60,1607.49,1620.37,7.54
Time to First Output Token (ms),57.81,53.81,81.63,1156.20,53.86,54.04,54.57,55.41,56.31,57.75,60.15,62.35,77.77,5.79
Time to First Token (ms),57.81,53.81,81.63,1156.20,53.86,54.04,54.57,55.41,56.31,57.75,60.15,62.35,77.77,5.79
Time to Second Token (ms),3.75,2.26,6.00,74.91,2.38,2.85,3.29,3.61,3.71,3.83,4.01,4.32,5.66,0.66
Tokens In Flight (tokens),635.49,0.00,772.00,,,,,,638.00,,743.89,756.94,767.97,88.57

Metric,Value
Benchmark Duration (sec),32.09
Input Token Throughput (tokens/sec),321.37
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),158.62
Request Count,20.00
Request Throughput (requests/sec),0.62
Total Input Sequence Length (tokens),10317.00
Total Output Sequence Length (tokens),5092.00
Total Output Tokens (tokens),5092.00
Total Token Throughput (tokens/sec),479.99
