Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3846.83,0.00,15167.21,,,,,,2913.43,,7542.17,8287.12,9862.85,2744.16
Active Decode Throughput Per User (tokens/sec/user),88.60,0.00,1347.73,,,,,,100.97,,155.99,164.04,180.26,53.17
Active Prefill Throughput (tokens/sec),12052.12,386.50,48028.88,,,,,,10129.76,,19540.23,27254.04,48028.88,8590.39
Active Prefill Throughput Per User (tokens/sec/user),4147.47,386.50,9474.54,,,,,,4384.84,,6637.15,7046.10,7756.24,1923.80
Active Total Throughput (tokens/sec),10984.31,119.13,48028.88,,,,,,10251.73,,20802.70,25360.27,48028.88,8931.63
Credit-to-Start Latency (ms),3.99,1.43,25.32,1021.55,1.59,1.96,2.14,2.49,2.91,4.75,7.41,8.06,11.45,2.66
Decode Duration (ms),3400.42,0.00,12226.15,870506.69,13.76,160.92,656.92,1309.89,2704.63,5001.48,7189.98,8633.39,11130.26,2676.66
E2E Output Token Throughput (tokens/sec/user),67.56,1.73,123.46,17294.60,4.98,22.77,41.33,59.84,71.68,75.05,90.83,100.32,118.42,21.41
Effective Concurrency,52.20,0.00,64.00,,,,,,64.00,,64.00,64.00,64.00,21.27
Effective Decode Concurrency,47.90,0.00,64.00,,,,,,61.00,,63.00,64.00,64.00,22.03
Effective Decode Throughput (tokens/sec),3790.55,0.00,15167.21,,,,,,2832.00,,7537.80,8283.31,9860.14,2762.89
Effective Decode Throughput Per User (tokens/sec/user),87.31,0.00,1347.73,,,,,,100.03,,155.62,163.97,179.84,53.84
Effective Latency (CO-aware) (ms),3725.13,71.60,12372.38,953634.47,129.64,321.23,1012.37,1554.20,3063.19,5321.47,7458.07,8828.82,11455.49,2710.24
Effective Prefill Concurrency,4.30,0.00,64.00,,,,,,1.00,,6.00,25.00,64.00,11.56
Effective Prefill Throughput (tokens/sec),7182.92,0.00,48028.88,,,,,,5471.28,,17873.86,20995.81,48028.88,8885.72
Effective Prefill Throughput Per User (tokens/sec/user),2471.84,0.00,9474.54,,,,,,2234.59,,5895.50,6846.29,7496.08,2519.45
