system,workload,concurrency,e2e_ms_avg,e2e_ms_max,e2e_ms_min,e2e_ms_p50,e2e_ms_p90,e2e_ms_p95,e2e_ms_p99,itl_ms_avg,itl_ms_max,itl_ms_min,itl_ms_p50,itl_ms_p90,itl_ms_p95,itl_ms_p99,out_tok_per_s_avg,out_tok_per_s_per_user_avg,out_tok_per_s_per_user_max,out_tok_per_s_per_user_min,out_tok_per_s_per_user_p50,out_tok_per_s_per_user_p90,out_tok_per_s_per_user_p95,out_tok_per_s_per_user_p99,req_per_s_avg,ttft_ms_avg,ttft_ms_max,ttft_ms_min,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99
h100nvl-co3,agent,1,4552.897065,4589.294121,4547.9724909999995,4550.61922,4554.996863699999,4557.613954199999,4582.9580876400005,4.4264443863651755,4.477119945273632,4.402362451076321,4.421786891596784,4.444914098715414,4.447082066483049,4.471112369515516,222.4369859639443,225.91834733483574,227.15076532499336,223.35787564853413,226.1529248234662,226.8831809186376,226.9101176005133,227.10263578009733,0.21856832658341782,52.5975736,76.88027699999999,50.133077,50.7770565,52.53700380000001,61.34151270000001,73.77252413999999
h100nvl-co3,agent,128,7589.0091831,7595.154997,7575.744984999999,7591.179172499999,7594.816034899999,7594.8912333,7595.10224426,7.003370704933976,7.322766601778656,6.850976587254902,6.940385638822069,7.148420803310805,7.163195073080049,7.290852296038935,2671.5443441949774,142.83529757003117,145.96459165549228,136.56040870633592,144.0843551773948,145.44981275898434,145.96193138653024,145.9640596016999,2.6221174306276462,460.8028801,607.194673,165.10518399999998,532.8568769999999,606.6227692,606.8321814999999,607.1221747000001
h100nvl-co3,agent,16,5781.291,6013.185176,4869.868019,6005.473777499999,6011.558761699999,6013.1147753,6013.17109586,5.436215376398211,6.931106364205257,4.668162902559055,5.43472071896452,5.670513546386992,5.797377921943073,6.7043606757528185,1842.0593306969488,185.3675819717787,214.21703159754918,144.2771106737536,184.00227109091225,213.16410657097907,213.6049235593899,214.09460998991733,1.8288913132416091,327.36172965,498.37620899999996,56.636002999999995,279.9995005,475.8783868,498.2918357,498.35933434
h100nvl-co3,agent,4,4669.993847350001,4924.7941869999995,1525.050354,4877.650861499999,4920.629540999999,4924.48623785,4924.73259717,4.682421463564965,4.786925002994012,4.5875436732673265,4.682399062312955,4.719059153740158,4.7226631767737155,4.774072637749953,789.9996982672855,213.5786645113425,217.98157602885183,208.90237456708508,213.5657760258981,214.96629707828234,215.27921539042438,217.44110390116634,0.8146846429486289,130.90382725,183.29987,57.802755999999995,135.912238,182.8938894,183.1549684,183.27088968
h100nvl-co3,agent,64,7620.8984971,7627.695725,7606.813977,7623.3956645,7627.3249385,7627.6197667999995,7627.68053336,7.249193179259546,10.306236586647726,6.858952674509803,6.982140450405463,7.391957781738106,8.70123967375044,9.985237204068266,2594.2756297777396,139.19870720376122,145.79485344990633,97.02862840307321,143.22383015389622,145.66254622114693,145.67088848880712,145.7700604576865,2.610985939792411,485.20594544999994,632.0648,191.31691899999998,557.5177735,631.5906633,631.63801345,631.97944269
h100nvl-co3,batch,1,610.7644859999999,643.6655049999999,600.578745,609.023076,611.7515535,618.42923855,638.6182517099999,4.623465754196602,8.740281539682538,4.366405047244094,4.396344893700787,4.453707643338837,4.714786506419614,7.9351825330299475,201.9908416258898,221.30729527646207,229.0213549086934,114.41279041868502,227.46170527788277,228.08437771669554,228.45804034583935,228.9086919961226,1.6224163986015245,52.89298504999999,81.54502699999999,49.941008,51.1661715,53.281207900000005,56.643165300000014,76.56465465999996
h100nvl-co3,batch,128,1394.9260642,1402.302679,1383.537012,1398.407184,1401.915274,1402.20865465,1402.28387413,7.581493859754649,9.68301856,6.463610669291339,6.87144577080315,8.640753960668333,9.53611011776378,9.653636871552756,1804.393643164659,134.15158325964993,154.71228871364534,103.27358083675922,145.538585135811,154.6209917483398,154.70389416893482,154.71060980470324,14.157659028361389,436.7163385,581.424124,173.15969199999998,532.7138709999999,580.8083839999999,580.981101,581.3355194
h100nvl-co3,batch,16,1092.43287945,1191.7169179999999,710.9005139999999,1185.286995,1191.3047775,1191.5795802999999,1191.68945046,5.701337056145581,7.838412251968504,4.599419283464567,5.180341132983377,6.626273728,6.687119712198426,7.608153744014486,1335.7546835259604,179.4590004367977,217.4187518835504,127.57685713058335,193.03931883039888,217.36757092486914,217.4169319135789,217.4183878895561,10.464196502357701,370.47186765,536.919346,56.085615999999995,357.0634975,536.6102473,536.6910439,536.87368558
h100nvl-co3,batch,4,722.6726834,755.205293,708.1465049999999,716.4277394999999,754.8884932,755.0859710999999,755.18142862,4.702056439498635,5.044539141732284,4.491380960629921,4.606457949693787,5.0346704803149605,5.04148357519685,5.043928028425197,699.5598535180634,213.04680735606357,222.64867059055902,198.23416409384862,217.08846169614586,222.63054504829324,222.6417394989671,222.64728437224065,5.48029654146544,127.14936085,167.61990699999998,73.74971099999999,131.931895,167.2922993,167.37118275,167.57016215
h100nvl-co3,batch,64,1456.2866865499998,1463.039343,1444.087531,1458.295592,1462.1338878,1462.29764475,1462.89100335,7.550149565902297,9.80371559055118,6.433335173228347,7.025027166166729,8.46678824488189,8.533920471653543,9.54975656677165,1735.1565520220806,134.4643074262442,155.44037005275203,102.00214304093029,142.35027215360736,155.3202778676715,155.36633747166488,155.4255635365346,13.577124820204075,498.8452616,646.005776,199.015651,569.7154375,644.5618903,644.74309965,645.75324073
