Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Output Token Count (tokens),127.65,125.00,129.00,2553.00,125.19,125.95,126.00,128.00,128.00,128.00,128.00,128.05,128.81,0.91
Output Token Throughput Per User (tokens/sec/user),156.38,144.69,161.52,3127.67,144.95,145.98,146.11,153.12,160.27,160.36,160.58,160.63,161.34,6.13
Prefill Throughput Per User (tokens/sec/user),7086.39,4955.05,11346.60,141727.72,4955.77,4958.66,4962.03,6080.41,6191.54,6724.65,11175.21,11272.05,11331.69,2147.23
Request Latency (ms),966.93,947.01,1006.15,19338.60,948.18,952.87,953.58,957.81,960.41,961.68,1006.07,1006.13,1006.14,18.58
Time to First Output Token (ms),155.80,90.51,207.47,3116.09,90.65,91.19,91.99,154.27,165.87,169.07,207.17,207.31,207.44,36.39
Time to First Token (ms),155.80,90.51,207.47,3116.09,90.65,91.19,91.99,154.27,165.87,169.07,207.17,207.31,207.44,36.39
Time to Second Token (ms),21.40,1.14,84.00,428.01,1.16,1.26,1.31,1.34,1.40,20.50,83.32,83.52,83.90,34.74
Tokens In Flight (tokens),4290.98,0.00,4620.99,,,,,,4306.50,,4556.00,4586.00,4612.00,338.94

Metric,Value
Benchmark Duration (sec),4.86
Input Token Throughput (tokens/sec),4219.13
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),523.98
Request Count,20.00
Request Throughput (requests/sec),4.10
Total Input Sequence Length (tokens),20557.00
Total Output Sequence Length (tokens),2553.00
Total Output Tokens (tokens),2553.00
Total Token Throughput (tokens/sec),4743.11
